privilege,privilege_name
3,ALTER SYSTEM
4,AUDIT SYSTEM
5,CREATE SESSION
6,ALTER SESSION
7,RESTRICTED SESSION
10,CREATE TABLESPACE
11,ALTER TABLESPACE
12,MANAGE TABLESPACE
13,DROP TABLESPACE
15,UNLIMITED TABLESPACE
20,CREATE USER
21,BECOME USER
22,ALTER USER
23,DROP USER
30,CREATE ROLLBACK SEGMENT
31,ALTER ROLLBACK SEGMENT
32,DROP ROLLBACK SEGMENT
40,CREATE TABLE
41,CREATE ANY TABLE
42,ALTER ANY TABLE
43,BACKUP ANY TABLE
44,DROP ANY TABLE
45,LOCK ANY TABLE
46,COMMENT ANY TABLE
47,SELECT ANY TABLE
48,INSERT ANY TABLE
49,UPDATE ANY TABLE
50,DELETE ANY TABLE
60,CREATE CLUSTER
61,CREATE ANY CLUSTER
62,ALTER ANY CLUSTER
63,DROP ANY CLUSTER
71,CREATE ANY INDEX
72,ALTER ANY INDEX
73,DROP ANY INDEX
80,CREATE SYNONYM
81,CREATE ANY SYNONYM
82,DROP ANY SYNONYM
83,SYSDBA
84,SYSOPER
85,CREATE PUBLIC SYNONYM
86,DROP PUBLIC SYNONYM
90,CREATE VIEW
91,CREATE ANY VIEW
92,DROP ANY VIEW
105,CREATE SEQUENCE
106,CREATE ANY SEQUENCE
107,ALTER ANY SEQUENCE
108,DROP ANY SEQUENCE
109,SELECT ANY SEQUENCE
115,CREATE DATABASE LINK
120,CREATE PUBLIC DATABASE LINK
121,DROP PUBLIC DATABASE LINK
125,CREATE ROLE
126,DROP ANY ROLE
127,GRANT ANY ROLE
128,ALTER ANY ROLE
130,AUDIT ANY
135,ALTER DATABASE
138,FORCE TRANSACTION
139,FORCE ANY TRANSACTION
140,CREATE PROCEDURE
141,CREATE ANY PROCEDURE
142,ALTER ANY PROCEDURE
143,DROP ANY PROCEDURE
144,EXECUTE ANY PROCEDURE
151,CREATE TRIGGER
152,CREATE ANY TRIGGER
153,ALTER ANY TRIGGER
154,DROP ANY TRIGGER
160,CREATE PROFILE
161,ALTER PROFILE
162,DROP PROFILE
163,ALTER RESOURCE COST
165,ANALYZE ANY
167,GRANT ANY PRIVILEGE
172,CREATE MATERIALIZED VIEW
173,CREATE ANY MATERIALIZED VIEW
174,ALTER ANY MATERIALIZED VIEW
175,DROP ANY MATERIALIZED VIEW
177,CREATE ANY DIRECTORY
178,DROP ANY DIRECTORY
180,CREATE TYPE
181,CREATE ANY TYPE
182,ALTER ANY TYPE
183,DROP ANY TYPE
184,EXECUTE ANY TYPE
186,UNDER ANY TYPE
188,CREATE LIBRARY
189,CREATE ANY LIBRARY
190,ALTER ANY LIBRARY
191,DROP ANY LIBRARY
192,EXECUTE ANY LIBRARY
200,CREATE OPERATOR
201,CREATE ANY OPERATOR
202,ALTER ANY OPERATOR
203,DROP ANY OPERATOR
204,EXECUTE ANY OPERATOR
205,CREATE INDEXTYPE
206,CREATE ANY INDEXTYPE
207,ALTER ANY INDEXTYPE
208,DROP ANY INDEXTYPE
209,UNDER ANY VIEW
210,QUERY REWRITE
211,GLOBAL QUERY REWRITE
212,EXECUTE ANY INDEXTYPE
213,UNDER ANY TABLE
214,CREATE DIMENSION
215,CREATE ANY DIMENSION
216,ALTER ANY DIMENSION
217,DROP ANY DIMENSION
218,MANAGE ANY QUEUE
219,ENQUEUE ANY QUEUE
220,DEQUEUE ANY QUEUE
222,CREATE ANY CONTEXT
223,DROP ANY CONTEXT
224,CREATE ANY OUTLINE
225,ALTER ANY OUTLINE
226,DROP ANY OUTLINE
227,ADMINISTER RESOURCE MANAGER
228,ADMINISTER DATABASE TRIGGER
233,MERGE ANY VIEW
234,ON COMMIT REFRESH
235,EXEMPT ACCESS POLICY
236,RESUMABLE
237,SELECT ANY DICTIONARY
238,DEBUG CONNECT SESSION
241,DEBUG ANY PROCEDURE
243,FLASHBACK ANY TABLE
244,GRANT ANY OBJECT PRIVILEGE
245,CREATE EVALUATION CONTEXT
246,CREATE ANY EVALUATION CONTEXT
247,ALTER ANY EVALUATION CONTEXT
248,DROP ANY EVALUATION CONTEXT
249,EXECUTE ANY EVALUATION CONTEXT
250,CREATE RULE SET
251,CREATE ANY RULE SET
252,ALTER ANY RULE SET
253,DROP ANY RULE SET
254,EXECUTE ANY RULE SET
255,EXPORT FULL DATABASE
256,IMPORT FULL DATABASE
257,CREATE RULE
258,CREATE ANY RULE
259,ALTER ANY RULE
260,DROP ANY RULE
261,EXECUTE ANY RULE
262,ANALYZE ANY DICTIONARY
263,ADVISOR
264,CREATE JOB
265,CREATE ANY JOB
266,EXECUTE ANY PROGRAM
267,EXECUTE ANY CLASS
268,MANAGE SCHEDULER
269,SELECT ANY TRANSACTION
270,DROP ANY SQL PROFILE
271,ALTER ANY SQL PROFILE
272,ADMINISTER SQL TUNING SET
273,ADMINISTER ANY SQL TUNING SET
274,CREATE ANY SQL PROFILE
275,EXEMPT IDENTITY POLICY
276,MANAGE FILE GROUP
277,MANAGE ANY FILE GROUP
278,READ ANY FILE GROUP
279,CHANGE NOTIFICATION
280,CREATE EXTERNAL JOB
281,CREATE ANY EDITION
282,DROP ANY EDITION
283,ALTER ANY EDITION
284,CREATE ASSEMBLY
285,CREATE ANY ASSEMBLY
286,ALTER ANY ASSEMBLY
287,DROP ANY ASSEMBLY
288,EXECUTE ANY ASSEMBLY
289,EXECUTE ASSEMBLY
290,CREATE MINING MODEL
291,CREATE ANY MINING MODEL
292,DROP ANY MINING MODEL
293,SELECT ANY MINING MODEL
294,ALTER ANY MINING MODEL
295,COMMENT ANY MINING MODEL
301,CREATE CUBE DIMENSION
302,ALTER ANY CUBE DIMENSION
303,CREATE ANY CUBE DIMENSION
304,DELETE ANY CUBE DIMENSION
305,DROP ANY CUBE DIMENSION
306,INSERT ANY CUBE DIMENSION
307,SELECT ANY CUBE DIMENSION
308,CREATE CUBE
309,ALTER ANY CUBE
310,CREATE ANY CUBE
311,DROP ANY CUBE
312,SELECT ANY CUBE
313,UPDATE ANY CUBE
314,CREATE MEASURE FOLDER
315,CREATE ANY MEASURE FOLDER
316,DELETE ANY MEASURE FOLDER
317,DROP ANY MEASURE FOLDER
318,INSERT ANY MEASURE FOLDER
319,CREATE CUBE BUILD PROCESS
320,CREATE ANY CUBE BUILD PROCESS
321,DROP ANY CUBE BUILD PROCESS
322,UPDATE ANY CUBE BUILD PROCESS
326,UPDATE ANY CUBE DIMENSION
327,ADMINISTER SQL MANAGEMENT OBJECT
328,ALTER PUBLIC DATABASE LINK
329,ALTER DATABASE LINK
350,FLASHBACK ARCHIVE ADMINISTER
